Название университета,Страна,Город,Минимальный GPA,Минимальный IELTS,Минимальный SAT,Минимальный AP,Минимальный бюджет ($),Направление,Климат,Уровень проектов,Гранты,Стоимость проживания,Краткое описание
Национальный университет Сингапура,Сингапур,Сингапур,3.51,5.5,1000,4,15000,Физика,Умеренный,Продвинутый,Низкий,Дешёвый,Университет с акцентом на исследования. Возможны стипендии и гранты.
Университет Гонконга,Гонконг,Гонконг,2.8,5.5,1400,1,25000,Математика,Холодный,Продвинутый,Низкий,Средний,Университет с акцентом на исследования. Возможны стипендии и гранты.
Университет Торонто,Канада,Торонто,2.72,6.5,1000,5,20000,Математика,Холодный,Базовый,Средний,Дешёвый,Университет с акцентом на исследования. Возможны стипендии и гранты.
Гарвард,США,Кембридж,2.55,6.5,1300,5,25000,Математика,Тёплый,Средний,Средний,Средний,Университет с акцентом на исследования. Возможны стипендии и гранты.
Университет Сиднея,Австралия,Сидней,3.43,6.0,1200,4,20000,IT,Холодный,Средний,Высокий,Средний,Университет с акцентом на исследования. Возможны стипендии и гранты.
МГУ,Россия,Москва,3.19,6.0,1200,5,10000,IT,Умеренный,Продвинутый,Низкий,Средний,Университет с акцентом на исследования. Возможны стипендии и гранты.
МГУ,Россия,Москва,3.6,5.5,1200,3,10000,Физика,Умеренный,Продвинутый,Высокий,Дешёвый,Университет с акцентом на исследования. Возможны стипендии и гранты.
Корея Университи,Южная Корея,Сеул,3.13,6.0,1300,5,20000,IT,Холодный,Нет,Высокий,Дорогой,Университет с акцентом на исследования. Возможны стипендии и гранты.
МГУ,Россия,Москва,3.63,7.0,1200,5,30000,Бизнес,Холодный,Базовый,Низкий,Дорогой,Университет с акцентом на исследования. Возможны стипендии и гранты.
Университет Сиднея,Австралия,Сидней,3.56,7.0,1000,3,5000,Инженерия,Умеренный,Базовый,Высокий,Дешёвый,Университет с акцентом на исследования. Возможны стипендии и гранты.
Университет Сиднея,Австралия,Сидней,3.79,7.0,1200,5,30000,IT,Тёплый,Базовый,Высокий,Дешёвый,Университет с акцентом на исследования. Возможны стипендии и гранты.
Университет Торонто,Канада,Торонто,3.9,6.0,1300,4,30000,Инженерия,Умеренный,Средний,Высокий,Средний,Университет с акцентом на исследования. Возможны стипендии и гранты.
Корея Университи,Южная Корея,Сеул,2.87,6.5,1500,4,5000,Медицина,Тёплый,Продвинутый,Низкий,Дорогой,Университет с акцентом на исследования. Возможны стипендии и гранты.
Токийский университет,Япония,Токио,3.84,5.5,1300,2,5000,Математика,Тёплый,Средний,Средний,Дорогой,Университет с акцентом на исследования. Возможны стипендии и гранты.
Национальный университет Сингапура,Сингапур,Сингапур,3.86,6.5,1300,2,10000,Медицина,Тёплый,Базовый,Средний,Средний,Университет с акцентом на исследования. Возможны стипендии и гранты.
Университет Торонто,Канада,Торонто,3.55,7.0,1300,5,5000,Медицина,Тёплый,Базовый,Средний,Дешёвый,Университет с акцентом на исследования. Возможны стипендии и гранты.
Корея Университи,Южная Корея,Сеул,3.28,6.0,1000,1,15000,Бизнес,Холодный,Продвинутый,Низкий,Средний,Университет с акцентом на исследования. Возможны стипендии и гранты.
Университет Назарбаева,Казахстан,Астана,3.52,6.0,1400,1,15000,IT,Холодный,Базовый,Низкий,Средний,Университет с акцентом на исследования. Возможны стипендии и гранты.
Токийский университет,Япония,Токио,3.17,5.5,1200,2,25000,Инженерия,Умеренный,Продвинутый,Высокий,Дорогой,Университет с акцентом на исследования. Возможны стипендии и гранты.
Университет Гонконга,Гонконг,Гонконг,3.91,6.5,1300,2,15000,Математика,Тёплый,Средний,Низкий,Дешёвый,Университет с акцентом на исследования. Возможны стипендии и гранты.
Университет Назарбаева,Казахстан,Астана,3.65,7.0,1500,1,25000,Математика,Тёплый,Базовый,Высокий,Дорогой,Университет с акцентом на исследования. Возможны стипендии и гранты.
Университет Назарбаева,Казахстан,Астана,2.78,7.0,1100,4,10000,Физика,Умеренный,Средний,Средний,Дорогой,Университет с акцентом на исследования. Возможны стипендии и гранты.
Токийский университет,Япония,Токио,3.36,6.5,1400,4,25000,Математика,Холодный,Базовый,Средний,Дешёвый,Университет с акцентом на исследования. Возможны стипендии и гранты.
Национальный университет Сингапура,Сингапур,Сингапур,2.6,6.5,1100,5,30000,Математика,Умеренный,Средний,Высокий,Средний,Университет с акцентом на исследования. Возможны стипендии и гранты.
Университет Торонто,Канада,Торонто,3.05,6.0,1400,5,25000,Физика,Умеренный,Продвинутый,Средний,Средний,Университет с акцентом на исследования. Возможны стипендии и гранты.
МГУ,Россия,Москва,3.45,6.5,1100,1,10000,Медицина,Холодный,Продвинутый,Высокий,Средний,Университет с акцентом на исследования. Возможны стипендии и гранты.
Университет Гонконга,Гонконг,Гонконг,2.59,5.5,1500,5,25000,Математика,Умеренный,Базовый,Высокий,Средний,Университет с акцентом на исследования. Возможны стипендии и гранты.
Университет Торонто,Канада,Торонто,2.59,7.0,1500,2,30000,Математика,Холодный,Нет,Низкий,Дорогой,Университет с акцентом на исследования. Возможны стипендии и гранты.
Университет Торонто,Канада,Торонто,2.99,5.5,1100,4,15000,IT,Тёплый,Средний,Низкий,Дорогой,Университет с акцентом на исследования. Возможны стипендии и гранты.
Университет Назарбаева,Казахстан,Астана,3.25,5.5,1000,4,30000,IT,Холодный,Нет,Высокий,Дорогой,Университет с акцентом на исследования. Возможны стипендии и гранты.
Гарвард,США,Кембридж,3.07,5.5,1100,5,25000,Физика,Тёплый,Продвинутый,Средний,Средний,Университет с акцентом на исследования. Возможны стипендии и гранты.
Национальный университет Сингапура,Сингапур,Сингапур,2.68,6.5,1100,1,20000,Медицина,Умеренный,Продвинутый,Средний,Дешёвый,Университет с акцентом на исследования. Возможны стипендии и гранты.
Национальный университет Сингапура,Сингапур,Сингапур,2.83,6.5,1300,4,15000,IT,Умеренный,Базовый,Низкий,Дорогой,Университет с акцентом на исследования. Возможны стипендии и гранты.
Университет Сиднея,Австралия,Сидней,3.92,6.0,1200,1,5000,Физика,Холодный,Продвинутый,Низкий,Дешёвый,Университет с акцентом на исследования. Возможны стипендии и гранты.
Университет Торонто,Канада,Торонто,3.01,7.0,1300,2,25000,Математика,Холодный,Средний,Средний,Дорогой,Университет с акцентом на исследования. Возможны стипендии и гранты.
Университет Гонконга,Гонконг,Гонконг,3.51,5.5,1000,2,5000,Инженерия,Умеренный,Средний,Средний,Дешёвый,Университет с акцентом на исследования. Возможны стипендии и гранты.
Национальный университет Сингапура,Сингапур,Сингапур,3.96,7.0,1100,4,30000,Физика,Умеренный,Нет,Низкий,Дешёвый,Университет с акцентом на исследования. Возможны стипендии и гранты.
Университет Кембриджа,Великобритания,Кембридж,2.61,7.0,1000,3,30000,Медицина,Холодный,Базовый,Средний,Дорогой,Университет с акцентом на исследования. Возможны стипендии и гранты.
Университет Назарбаева,Казахстан,Астана,2.75,6.5,1300,1,20000,IT,Умеренный,Нет,Средний,Средний,Университет с акцентом на исследования. Возможны стипендии и гранты.
Университет Гонконга,Гонконг,Гонконг,3.84,6.5,1100,4,30000,Бизнес,Тёплый,Средний,Средний,Средний,Университет с акцентом на исследования. Возможны стипендии и гранты.
Корея Университи,Южная Корея,Сеул,3.8,5.5,1400,1,30000,Математика,Умеренный,Нет,Высокий,Дорогой,Университет с акцентом на исследования. Возможны стипендии и гранты.
Университет Кембриджа,Великобритания,Кембридж,3.22,7.0,1400,4,10000,Физика,Холодный,Нет,Средний,Дешёвый,Университет с акцентом на исследования. Возможны стипендии и гранты.
МГУ,Россия,Москва,3.11,6.5,1000,3,5000,Бизнес,Умеренный,Продвинутый,Высокий,Дешёвый,Университет с акцентом на исследования. Возможны стипендии и гранты.
Токийский университет,Япония,Токио,2.68,6.5,1300,3,10000,Бизнес,Умеренный,Базовый,Высокий,Дешёвый,Университет с акцентом на исследования. Возможны стипендии и гранты.
Корея Университи,Южная Корея,Сеул,3.27,6.5,1500,5,5000,Инженерия,Умеренный,Средний,Высокий,Средний,Университет с акцентом на исследования. Возможны стипендии и гранты.
Университет Торонто,Канада,Торонто,2.78,6.5,1100,2,10000,Медицина,Тёплый,Продвинутый,Низкий,Дешёвый,Университет с акцентом на исследования. Возможны стипендии и гранты.
Университет Кембриджа,Великобритания,Кембридж,3.69,6.5,1500,1,25000,Бизнес,Умеренный,Нет,Низкий,Средний,Университет с акцентом на исследования. Возможны стипендии и гранты.
Корея Университи,Южная Корея,Сеул,3.23,6.0,1000,3,25000,Математика,Холодный,Базовый,Низкий,Средний,Университет с акцентом на исследования. Возможны стипендии и гранты.
Университет Гонконга,Гонконг,Гонконг,3.02,5.5,1400,4,10000,Инженерия,Умеренный,Продвинутый,Низкий,Дорогой,Университет с акцентом на исследования. Возможны стипендии и гранты.
Университет Сиднея,Австралия,Сидней,3.9,5.5,1300,1,25000,IT,Холодный,Продвинутый,Высокий,Дешёвый,Университет с акцентом на исследования. Возможны стипендии и гранты.
Корея Университи,Южная Корея,Сеул,2.63,7.0,1500,3,15000,Математика,Холодный,Продвинутый,Высокий,Дешёвый,Университет с акцентом на исследования. Возможны стипендии и гранты.
Национальный университет Сингапура,Сингапур,Сингапур,3.99,6.0,1100,4,15000,Математика,Умеренный,Нет,Средний,Дешёвый,Университет с акцентом на исследования. Возможны стипендии и гранты.
Корея Университи,Южная Корея,Сеул,3.71,5.5,1500,2,25000,IT,Тёплый,Продвинутый,Низкий,Дорогой,Университет с акцентом на исследования. Возможны стипендии и гранты.
Университет Торонто,Канада,Торонто,3.93,6.0,1200,1,20000,Бизнес,Холодный,Базовый,Высокий,Дорогой,Университет с акцентом на исследования. Возможны стипендии и гранты.
Университет Кембриджа,Великобритания,Кембридж,2.61,7.0,1300,5,10000,Бизнес,Холодный,Базовый,Низкий,Дорогой,Университет с акцентом на исследования. Возможны стипендии и гранты.
МГУ,Россия,Москва,2.94,6.5,1400,1,10000,Инженерия,Тёплый,Продвинутый,Низкий,Дешёвый,Университет с акцентом на исследования. Возможны стипендии и гранты.
Университет Торонто,Канада,Торонто,2.91,7.0,1100,5,20000,Бизнес,Тёплый,Нет,Низкий,Средний,Университет с акцентом на исследования. Возможны стипендии и гранты.
Корея Университи,Южная Корея,Сеул,2.9,7.0,1300,5,15000,IT,Холодный,Нет,Высокий,Дешёвый,Университет с акцентом на исследования. Возможны стипендии и гранты.
Гарвард,США,Кембридж,2.53,6.5,1000,2,15000,Медицина,Тёплый,Нет,Низкий,Дорогой,Университет с акцентом на исследования. Возможны стипендии и гранты.
Университет Сиднея,Австралия,Сидней,3.72,7.0,1200,3,30000,Физика,Холодный,Продвинутый,Средний,Дорогой,Университет с акцентом на исследования. Возможны стипендии и гранты.
Национальный университет Сингапура,Сингапур,Сингапур,3.16,6.5,1400,4,5000,Инженерия,Холодный,Продвинутый,Высокий,Средний,Университет с акцентом на исследования. Возможны стипендии и гранты.
Токийский университет,Япония,Токио,3.89,7.0,1000,1,20000,Математика,Тёплый,Нет,Высокий,Дорогой,Университет с акцентом на исследования. Возможны стипендии и гранты.
Университет Сиднея,Австралия,Сидней,3.61,5.5,1000,3,30000,Бизнес,Холодный,Средний,Низкий,Дорогой,Университет с акцентом на исследования. Возможны стипендии и гранты.
Университет Сиднея,Австралия,Сидней,2.8,6.0,1000,4,20000,Физика,Тёплый,Нет,Средний,Дешёвый,Университет с акцентом на исследования. Возможны стипендии и гранты.
МГУ,Россия,Москва,2.69,6.5,1300,1,30000,Физика,Холодный,Средний,Средний,Дорогой,Университет с акцентом на исследования. Возможны стипендии и гранты.
Национальный университет Сингапура,Сингапур,Сингапур,2.75,6.5,1300,1,30000,Физика,Тёплый,Средний,Низкий,Средний,Университет с акцентом на исследования. Возможны стипендии и гранты.
Университет Гонконга,Гонконг,Гонконг,2.56,7.0,1500,4,5000,IT,Тёплый,Продвинутый,Средний,Дешёвый,Университет с акцентом на исследования. Возможны стипендии и гранты.
Университет Назарбаева,Казахстан,Астана,2.75,6.0,1000,5,5000,Бизнес,Холодный,Продвинутый,Низкий,Дешёвый,Университет с акцентом на исследования. Возможны стипендии и гранты.
МГУ,Россия,Москва,2.95,7.0,1400,4,20000,IT,Умеренный,Нет,Низкий,Средний,Университет с акцентом на исследования. Возможны стипендии и гранты.
Университет Сиднея,Австралия,Сидней,2.95,7.0,1500,4,5000,Инженерия,Умеренный,Продвинутый,Средний,Дешёвый,Университет с акцентом на исследования. Возможны стипендии и гранты.
Токийский университет,Япония,Токио,2.81,6.0,1200,1,15000,Математика,Умеренный,Базовый,Низкий,Средний,Университет с акцентом на исследования. Возможны стипендии и гранты.
Корея Университи,Южная Корея,Сеул,2.72,5.5,1100,2,5000,IT,Умеренный,Продвинутый,Средний,Дорогой,Университет с акцентом на исследования. Возможны стипендии и гранты.
Национальный университет Сингапура,Сингапур,Сингапур,3.0,5.5,1400,1,30000,IT,Холодный,Средний,Высокий,Средний,Университет с акцентом на исследования. Возможны стипендии и гранты.
Национальный университет Сингапура,Сингапур,Сингапур,3.98,6.0,1400,2,20000,IT,Холодный,Нет,Низкий,Дорогой,Университет с акцентом на исследования. Возможны стипендии и гранты.
Токийский университет,Япония,Токио,2.64,7.0,1200,5,5000,Бизнес,Тёплый,Нет,Высокий,Дешёвый,Университет с акцентом на исследования. Возможны стипендии и гранты.
Корея Университи,Южная Корея,Сеул,3.0,5.5,1500,1,30000,Медицина,Холодный,Нет,Средний,Дорогой,Университет с акцентом на исследования. Возможны стипендии и гранты.
Гарвард,США,Кембридж,3.38,6.0,1000,5,15000,Математика,Холодный,Продвинутый,Низкий,Средний,Университет с акцентом на исследования. Возможны стипендии и гранты.
Университет Торонто,Канада,Торонто,2.59,5.5,1100,2,20000,Инженерия,Тёплый,Средний,Средний,Средний,Университет с акцентом на исследования. Возможны стипендии и гранты.
Университет Торонто,Канада,Торонто,3.98,6.5,1500,5,10000,Медицина,Умеренный,Средний,Средний,Средний,Университет с акцентом на исследования. Возможны стипендии и гранты.
Корея Университи,Южная Корея,Сеул,2.9,7.0,1500,3,20000,Физика,Тёплый,Нет,Низкий,Средний,Университет с акцентом на исследования. Возможны стипендии и гранты.
Гарвард,США,Кембридж,3.74,6.5,1100,4,15000,Бизнес,Холодный,Нет,Высокий,Средний,Университет с акцентом на исследования. Возможны стипендии и гранты.
МГУ,Россия,Москва,3.81,5.5,1100,2,25000,Инженерия,Тёплый,Продвинутый,Средний,Дорогой,Университет с акцентом на исследования. Возможны стипендии и гранты.
Университет Назарбаева,Казахстан,Астана,2.51,7.0,1100,4,30000,Медицина,Холодный,Базовый,Высокий,Дешёвый,Университет с акцентом на исследования. Возможны стипендии и гранты.
Университет Кембриджа,Великобритания,Кембридж,3.12,6.5,1100,2,10000,Инженерия,Тёплый,Нет,Высокий,Средний,Университет с акцентом на исследования. Возможны стипендии и гранты.
Университет Гонконга,Гонконг,Гонконг,2.57,7.0,1100,3,20000,Бизнес,Холодный,Средний,Высокий,Дешёвый,Университет с акцентом на исследования. Возможны стипендии и гранты.
Корея Университи,Южная Корея,Сеул,3.38,6.0,1300,2,5000,IT,Умеренный,Нет,Средний,Дорогой,Университет с акцентом на исследования. Возможны стипендии и гранты.
Токийский университет,Япония,Токио,2.91,5.5,1000,2,15000,Математика,Умеренный,Базовый,Средний,Дешёвый,Университет с акцентом на исследования. Возможны стипендии и гранты.
МГУ,Россия,Москва,3.64,7.0,1100,2,20000,Инженерия,Умеренный,Базовый,Средний,Средний,Университет с акцентом на исследования. Возможны стипендии и гранты.
Университет Кембриджа,Великобритания,Кембридж,3.33,6.5,1100,2,25000,Медицина,Тёплый,Средний,Низкий,Дешёвый,Университет с акцентом на исследования. Возможны стипендии и гранты.
Университет Кембриджа,Великобритания,Кембридж,2.91,5.5,1200,3,10000,Физика,Умеренный,Продвинутый,Низкий,Дешёвый,Университет с акцентом на исследования. Возможны стипендии и гранты.
Токийский университет,Япония,Токио,3.73,6.5,1100,4,15000,Медицина,Тёплый,Средний,Средний,Средний,Университет с акцентом на исследования. Возможны стипендии и гранты.
Гарвард,США,Кембридж,3.5,6.0,1200,2,20000,Математика,Тёплый,Нет,Высокий,Средний,Университет с акцентом на исследования. Возможны стипендии и гранты.
Университет Сиднея,Австралия,Сидней,2.59,6.0,1400,3,20000,Медицина,Умеренный,Базовый,Средний,Средний,Университет с акцентом на исследования. Возможны стипендии и гранты.
Университет Торонто,Канада,Торонто,2.91,6.0,1500,1,25000,Бизнес,Тёплый,Средний,Низкий,Средний,Университет с акцентом на исследования. Возможны стипендии и гранты.
МГУ,Россия,Москва,3.21,5.5,1400,1,15000,Инженерия,Тёплый,Средний,Низкий,Дорогой,Университет с акцентом на исследования. Возможны стипендии и гранты.
Корея Университи,Южная Корея,Сеул,3.59,6.5,1100,5,25000,Инженерия,Холодный,Продвинутый,Высокий,Дешёвый,Университет с акцентом на исследования. Возможны стипендии и гранты.
Университет Назарбаева,Казахстан,Астана,2.81,7.0,1200,4,25000,IT,Холодный,Нет,Средний,Дорогой,Университет с акцентом на исследования. Возможны стипендии и гранты.
Университет Гонконга,Гонконг,Гонконг,3.56,5.5,1500,3,25000,Математика,Умеренный,Базовый,Низкий,Дешёвый,Университет с акцентом на исследования. Возможны стипендии и гранты.
Национальный университет Сингапура,Сингапур,Сингапур,3.3,5.5,1500,5,15000,Математика,Тёплый,Базовый,Низкий,Дешёвый,Университет с акцентом на исследования. Возможны стипендии и гранты.
Гарвард,США,Кембридж,3.2,7.0,1300,5,10000,Медицина,Тёплый,Нет,Низкий,Средний,Университет с акцентом на исследования. Возможны стипендии и гранты.
Университет Назарбаева,Казахстан,Астана,3.6,5.5,1200,5,15000,Медицина,Тёплый,Базовый,Низкий,Дорогой,Университет с акцентом на исследования. Возможны стипендии и гранты.
Университет Кембриджа,Великобритания,Кембридж,2.59,7.0,1300,5,30000,IT,Тёплый,Средний,Низкий,Средний,Университет с акцентом на исследования. Возможны стипендии и гранты.
Университет Гонконга,Гонконг,Гонконг,3.33,5.5,1000,5,25000,Медицина,Тёплый,Нет,Средний,Дешёвый,Университет с акцентом на исследования. Возможны стипендии и гранты.
Гарвард,США,Кембридж,2.91,5.5,1100,3,10000,Бизнес,Умеренный,Средний,Высокий,Дорогой,Университет с акцентом на исследования. Возможны стипендии и гранты.
Гарвард,США,Кембридж,2.55,5.5,1300,2,20000,Медицина,Холодный,Базовый,Средний,Дешёвый,Университет с акцентом на исследования. Возможны стипендии и гранты.
Университет Торонто,Канада,Торонто,3.35,6.0,1500,1,10000,Математика,Холодный,Продвинутый,Высокий,Дорогой,Университет с акцентом на исследования. Возможны стипендии и гранты.
Токийский университет,Япония,Токио,3.71,7.0,1400,2,20000,Математика,Умеренный,Продвинутый,Низкий,Средний,Университет с акцентом на исследования. Возможны стипендии и гранты.
Университет Назарбаева,Казахстан,Астана,2.53,6.5,1000,2,10000,Инженерия,Умеренный,Средний,Высокий,Средний,Университет с акцентом на исследования. Возможны стипендии и гранты.
Университет Гонконга,Гонконг,Гонконг,3.57,6.5,1400,3,10000,Инженерия,Умеренный,Продвинутый,Низкий,Дешёвый,Университет с акцентом на исследования. Возможны стипендии и гранты.
Университет Гонконга,Гонконг,Гонконг,2.54,5.5,1400,3,5000,Бизнес,Умеренный,Базовый,Высокий,Средний,Университет с акцентом на исследования. Возможны стипендии и гранты.
Токийский университет,Япония,Токио,3.08,6.5,1500,1,30000,IT,Умеренный,Средний,Средний,Дешёвый,Университет с акцентом на исследования. Возможны стипендии и гранты.
Университет Сиднея,Австралия,Сидней,3.91,5.5,1400,1,10000,Бизнес,Умеренный,Продвинутый,Низкий,Дешёвый,Университет с акцентом на исследования. Возможны стипендии и гранты.
Университет Гонконга,Гонконг,Гонконг,3.73,6.0,1000,3,5000,Математика,Холодный,Средний,Высокий,Средний,Университет с акцентом на исследования. Возможны стипендии и гранты.
Корея Университи,Южная Корея,Сеул,2.6,6.0,1500,2,25000,Физика,Холодный,Продвинутый,Низкий,Средний,Университет с акцентом на исследования. Возможны стипендии и гранты.
Корея Университи,Южная Корея,Сеул,2.8,6.5,1000,1,5000,IT,Умеренный,Средний,Высокий,Дорогой,Университет с акцентом на исследования. Возможны стипендии и гранты.
Университет Гонконга,Гонконг,Гонконг,3.12,6.5,1000,1,20000,Математика,Умеренный,Средний,Средний,Средний,Университет с акцентом на исследования. Возможны стипендии и гранты.
Университет Гонконга,Гонконг,Гонконг,3.06,6.0,1200,5,25000,Бизнес,Тёплый,Средний,Низкий,Дорогой,Университет с акцентом на исследования. Возможны стипендии и гранты.
Университет Кембриджа,Великобритания,Кембридж,2.75,5.5,1000,3,10000,Физика,Холодный,Нет,Средний,Дорогой,Университет с акцентом на исследования. Возможны стипендии и гранты.
Гарвард,США,Кембридж,2.6,6.5,1000,1,10000,Инженерия,Тёплый,Базовый,Средний,Дорогой,Университет с акцентом на исследования. Возможны стипендии и гранты.
Университет Назарбаева,Казахстан,Астана,3.54,6.5,1000,4,30000,Математика,Холодный,Средний,Средний,Средний,Университет с акцентом на исследования. Возможны стипендии и гранты.
Национальный университет Сингапура,Сингапур,Сингапур,3.14,6.0,1500,4,20000,IT,Тёплый,Средний,Низкий,Средний,Университет с акцентом на исследования. Возможны стипендии и гранты.
Университет Гонконга,Гонконг,Гонконг,3.31,7.0,1100,5,20000,Бизнес,Холодный,Нет,Высокий,Дешёвый,Университет с акцентом на исследования. Возможны стипендии и гранты.
Университет Торонто,Канада,Торонто,3.57,7.0,1200,4,15000,Математика,Умеренный,Продвинутый,Высокий,Средний,Университет с акцентом на исследования. Возможны стипендии и гранты.
Университет Сиднея,Австралия,Сидней,3.09,5.5,1400,3,10000,Бизнес,Умеренный,Продвинутый,Низкий,Средний,Университет с акцентом на исследования. Возможны стипендии и гранты.
Гарвард,США,Кембридж,3.19,6.5,1300,3,15000,Физика,Холодный,Нет,Высокий,Средний,Университет с акцентом на исследования. Возможны стипендии и гранты.
Университет Сиднея,Австралия,Сидней,2.59,5.5,1000,5,20000,Математика,Тёплый,Базовый,Средний,Дешёвый,Университет с акцентом на исследования. Возможны стипендии и гранты.
Гарвард,США,Кембридж,3.94,6.0,1500,5,25000,IT,Умеренный,Базовый,Низкий,Дорогой,Университет с акцентом на исследования. Возможны стипендии и гранты.
Университет Назарбаева,Казахстан,Астана,2.75,6.5,1500,5,20000,Математика,Умеренный,Продвинутый,Низкий,Средний,Университет с акцентом на исследования. Возможны стипендии и гранты.
Национальный университет Сингапура,Сингапур,Сингапур,3.6,6.5,1500,2,20000,Медицина,Умеренный,Базовый,Низкий,Дорогой,Университет с акцентом на исследования. Возможны стипендии и гранты.
МГУ,Россия,Москва,3.61,6.5,1100,2,15000,Медицина,Тёплый,Средний,Низкий,Дорогой,Университет с акцентом на исследования. Возможны стипендии и гранты.
Гарвард,США,Кембридж,3.99,5.5,1500,4,15000,Инженерия,Холодный,Продвинутый,Высокий,Дорогой,Университет с акцентом на исследования. Возможны стипендии и гранты.
Национальный университет Сингапура,Сингапур,Сингапур,3.63,5.5,1400,4,15000,Математика,Тёплый,Средний,Высокий,Дорогой,Университет с акцентом на исследования. Возможны стипендии и гранты.
Университет Кембриджа,Великобритания,Кембридж,3.66,5.5,1300,4,25000,Физика,Тёплый,Средний,Средний,Средний,Университет с акцентом на исследования. Возможны стипендии и гранты.
Университет Кембриджа,Великобритания,Кембридж,3.33,7.0,1200,4,25000,Медицина,Холодный,Базовый,Низкий,Средний,Университет с акцентом на исследования. Возможны стипендии и гранты.
Национальный университет Сингапура,Сингапур,Сингапур,3.38,7.0,1000,5,30000,Бизнес,Умеренный,Базовый,Низкий,Средний,Университет с акцентом на исследования. Возможны стипендии и гранты.
Университет Сиднея,Австралия,Сидней,3.32,6.0,1000,2,20000,Физика,Холодный,Средний,Низкий,Средний,Университет с акцентом на исследования. Возможны стипендии и гранты.
Национальный университет Сингапура,Сингапур,Сингапур,3.36,6.0,1300,5,5000,Инженерия,Тёплый,Нет,Высокий,Дорогой,Университет с акцентом на исследования. Возможны стипендии и гранты.
Гарвард,США,Кембридж,3.42,6.5,1400,4,20000,Бизнес,Тёплый,Нет,Средний,Дорогой,Университет с акцентом на исследования. Возможны стипендии и гранты.
Университет Торонто,Канада,Торонто,3.76,5.5,1300,4,20000,IT,Холодный,Средний,Низкий,Дорогой,Университет с акцентом на исследования. Возможны стипендии и гранты.
Университет Сиднея,Австралия,Сидней,3.16,5.5,1100,1,30000,Бизнес,Тёплый,Нет,Низкий,Дорогой,Университет с акцентом на исследования. Возможны стипендии и гранты.
Университет Кембриджа,Великобритания,Кембридж,3.94,7.0,1500,5,15000,Физика,Умеренный,Продвинутый,Средний,Дорогой,Университет с акцентом на исследования. Возможны стипендии и гранты.
Университет Кембриджа,Великобритания,Кембридж,3.28,7.0,1300,4,25000,Медицина,Тёплый,Средний,Высокий,Дорогой,Университет с акцентом на исследования. Возможны стипендии и гранты.
Национальный университет Сингапура,Сингапур,Сингапур,3.75,6.0,1300,3,20000,Бизнес,Тёплый,Базовый,Средний,Дорогой,Университет с акцентом на исследования. Возможны стипендии и гранты.
МГУ,Россия,Москва,2.72,6.5,1100,4,15000,Медицина,Холодный,Базовый,Низкий,Средний,Университет с акцентом на исследования. Возможны стипендии и гранты.
Университет Кембриджа,Великобритания,Кембридж,3.1,7.0,1500,2,15000,IT,Холодный,Продвинутый,Средний,Дешёвый,Университет с акцентом на исследования. Возможны стипендии и гранты.
Токийский университет,Япония,Токио,3.92,6.5,1000,1,25000,Инженерия,Умеренный,Средний,Низкий,Дешёвый,Университет с акцентом на исследования. Возможны стипендии и гранты.
Токийский университет,Япония,Токио,3.37,7.0,1000,1,30000,Математика,Тёплый,Средний,Средний,Дорогой,Университет с акцентом на исследования. Возможны стипендии и гранты.
Корея Университи,Южная Корея,Сеул,3.06,6.0,1300,3,5000,Инженерия,Холодный,Базовый,Средний,Дешёвый,Университет с акцентом на исследования. Возможны стипендии и гранты.
Университет Торонто,Канада,Торонто,3.84,5.5,1500,3,25000,Медицина,Холодный,Базовый,Высокий,Дорогой,Университет с акцентом на исследования. Возможны стипендии и гранты.
Национальный университет Сингапура,Сингапур,Сингапур,2.52,5.5,1200,2,10000,Инженерия,Тёплый,Продвинутый,Средний,Дорогой,Университет с акцентом на исследования. Возможны стипендии и гранты.
Национальный университет Сингапура,Сингапур,Сингапур,3.72,6.0,1000,5,20000,Математика,Умеренный,Средний,Средний,Дешёвый,Университет с акцентом на исследования. Возможны стипендии и гранты.
Университет Кембриджа,Великобритания,Кембридж,2.85,6.5,1400,2,20000,Бизнес,Умеренный,Базовый,Высокий,Средний,Университет с акцентом на исследования. Возможны стипендии и гранты.
Корея Университи,Южная Корея,Сеул,3.49,7.0,1000,3,30000,Медицина,Тёплый,Продвинутый,Высокий,Дешёвый,Университет с акцентом на исследования. Возможны стипендии и гранты.
Университет Гонконга,Гонконг,Гонконг,3.89,6.5,1400,4,10000,IT,Умеренный,Нет,Средний,Средний,Университет с акцентом на исследования. Возможны стипендии и гранты.
